service_id,date,exception_type
MONFRI-Reg,20240628,2
MONFRI-NoSch,20240628,1
SAT,20240629,2
Weekend,20240629,1
SUN,20240630,2
Weekend,20240630,1
MONFRI-Reg,20240701,2
STAT,20240701,1
MONFRI-Reg,20240702,2
MONFRI-NoSch,20240702,1
MONFRI-Reg,20240703,2
MONFRI-NoSch,20240703,1
MONFRI-Reg,20240704,2
MONFRI-NoSch,20240704,1
MONFRI-Reg,20240705,2
MONFRI-NoSch,20240705,1
SAT,20240706,2
Weekend,20240706,1
SUN,20240707,2
Weekend,20240707,1
MONFRI-Reg,20240708,2
MONFRI-NoSch,20240708,1
MONFRI-Reg,20240709,2
MONFRI-NoSch,20240709,1
MONFRI-Reg,20240710,2
MONFRI-NoSch,20240710,1
MONFRI-Reg,20240711,2
MONFRI-NoSch,20240711,1
MONFRI-Reg,20240712,2
MONFRI-NoSch,20240712,1
SAT,20240713,2
Weekend,20240713,1
SUN,20240714,2
Weekend,20240714,1
MONFRI-Reg,20240715,2
MONFRI-NoSch,20240715,1
MONFRI-Reg,20240716,2
MONFRI-NoSch,20240716,1
MONFRI-Reg,20240717,2
MONFRI-NoSch,20240717,1
MONFRI-Reg,20240718,2
MONFRI-NoSch,20240718,1
MONFRI-Reg,20240719,2
MONFRI-NoSch,20240719,1
SAT,20240720,2
Weekend,20240720,1
SUN,20240721,2
Weekend,20240721,1
MONFRI-Reg,20240722,2
MONFRI-NoSch,20240722,1
MONFRI-Reg,20240723,2
MONFRI-NoSch,20240723,1
MONFRI-Reg,20240724,2
MONFRI-NoSch,20240724,1
MONFRI-Reg,20240725,2
MONFRI-NoSch,20240725,1
MONFRI-Reg,20240726,2
MONFRI-NoSch,20240726,1
SAT,20240727,2
Weekend,20240727,1
SUN,20240728,2
Weekend,20240728,1
MONFRI-Reg,20240729,2
MONFRI-NoSch,20240729,1
MONFRI-Reg,20240730,2
MONFRI-NoSch,20240730,1
MONFRI-Reg,20240731,2
MONFRI-NoSch,20240731,1
MONFRI-Reg,20240801,2
MONFRI-NoSch,20240801,1
MONFRI-Reg,20240802,2
MONFRI-NoSch,20240802,1
SAT,20240803,2
Weekend,20240803,1
SUN,20240804,2
Weekend,20240804,1
MONFRI-Reg,20240805,2
STAT,20240805,1
MONFRI-Reg,20240806,2
MONFRI-NoSch,20240806,1
MONFRI-Reg,20240807,2
MONFRI-NoSch,20240807,1
MONFRI-Reg,20240808,2
MONFRI-NoSch,20240808,1
MONFRI-Reg,20240809,2
MONFRI-NoSch,20240809,1
SAT,20240810,2
Weekend,20240810,1
SUN,20240811,2
Weekend,20240811,1
MONFRI-Reg,20240812,2
MONFRI-NoSch,20240812,1
MONFRI-Reg,20240813,2
MONFRI-NoSch,20240813,1
MONFRI-Reg,20240814,2
MONFRI-NoSch,20240814,1
MONFRI-Reg,20240815,2
MONFRI-NoSch,20240815,1
MONFRI-Reg,20240816,2
MONFRI-NoSch,20240816,1
SAT,20240817,2
Weekend,20240817,1
SUN,20240818,2
Weekend,20240818,1
MONFRI-Reg,20240819,2
MONFRI-NoSch,20240819,1
MONFRI-Reg,20240820,2
MONFRI-NoSch,20240820,1
MONFRI-Reg,20240821,2
MONFRI-NoSch,20240821,1
MONFRI-Reg,20240822,2
MONFRI-NoSch,20240822,1
