trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
Timberlea_15_MF_1_05-30-MONFRI-NoSch,05:30:00,05:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_2_06-00-MONFRI-NoSch,06:00:00,06:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_3_06-30-MONFRI-NoSch,06:30:00,06:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_4_07-00-MONFRI-NoSch,07:00:00,07:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_5_07-30-MONFRI-NoSch,07:30:00,07:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_6_08-00-MONFRI-NoSch,08:00:00,08:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_7_08-30-MONFRI-NoSch,08:30:00,08:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_8_09-00-MONFRI-NoSch,09:00:00,09:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_9_09-30-MONFRI-NoSch,09:30:00,09:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_10_10-00-MONFRI-NoSch,10:00:00,10:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_11_10-30-MONFRI-NoSch,10:30:00,10:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_12_11-00-MONFRI-NoSch,11:00:00,11:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_13_11-30-MONFRI-NoSch,11:30:00,11:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_14_12-00-MONFRI-NoSch,12:00:00,12:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_15_12-30-MONFRI-NoSch,12:30:00,12:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_16_13-00-MONFRI-NoSch,13:00:00,13:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_17_13-30-MONFRI-NoSch,13:30:00,13:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_18_14-00-MONFRI-NoSch,14:00:00,14:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_19_14-30-MONFRI-NoSch,14:30:00,14:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_20_15-00-MONFRI-NoSch,15:00:00,15:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_21_15-30-MONFRI-NoSch,15:30:00,15:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_22_16-00-MONFRI-NoSch,16:00:00,16:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_23_16-30-MONFRI-NoSch,16:30:00,16:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_24_16-45-MONFRI-NoSch,16:45:00,16:45:00,10034,1,,0,0,0,1
Timberlea_15_MF_25_17-00-MONFRI-NoSch,17:00:00,17:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_26_17-30-MONFRI-NoSch,17:30:00,17:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_27_18-00-MONFRI-NoSch,18:00:00,18:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_28_18-30-MONFRI-NoSch,18:30:00,18:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_29_19-00-MONFRI-NoSch,19:00:00,19:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_30_19-30-MONFRI-NoSch,19:30:00,19:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_31_20-00-MONFRI-NoSch,20:00:00,20:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_32_20-30-MONFRI-NoSch,20:30:00,20:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_33_21-00-MONFRI-NoSch,21:00:00,21:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_34_21-30-MONFRI-NoSch,21:30:00,21:30:00,10034,1,,0,0,0,1
Timberlea_15_MF_35_22-00-MONFRI-NoSch,22:00:00,22:00:00,10034,1,,0,0,0,1
Timberlea_15_MF_36_22-30-MONFRI-NoSch,22:30:00,22:30:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_1_06-02-MONFRI-NoSch,06:02:00,06:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_2_07-02-MONFRI-NoSch,07:02:00,07:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_3_08-02-MONFRI-NoSch,08:02:00,08:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_4_09-02-MONFRI-NoSch,09:02:00,09:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_5_10-02-MONFRI-NoSch,10:02:00,10:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_6_11-02-MONFRI-NoSch,11:02:00,11:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_7_12-02-MONFRI-NoSch,12:02:00,12:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_8_13-02-MONFRI-NoSch,13:02:00,13:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_9_14-02-MONFRI-NoSch,14:02:00,14:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_10_15-02-MONFRI-NoSch,15:02:00,15:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_11_16-02-MONFRI-NoSch,16:02:00,16:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_12_17-02-MONFRI-NoSch,17:02:00,17:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_13_18-02-MONFRI-NoSch,18:02:00,18:02:00,10034,1,,0,0,0,1
Taiga_Nova_18_MF_14_19-02-MONFRI-NoSch,19:02:00,19:02:00,10034,1,,0,0,0,1
Gregoire___Industrial_10_MF_0_05-45-MONFRI-NoSch,06:00:00,06:00:00,10034,1,,0,0,2401,1
Gregoire___Industrial_10_MF_1_06-45-MONFRI-NoSch,07:00:00,07:00:00,10034,1,,0,0,2401,1
158901-MONFRI-NoSch,07:30:00,07:30:00,10034,1,,0,0,2401,1
Gregoire___Industrial_10_MF_2_07-45-MONFRI-NoSch,08:00:00,08:00:00,10034,1,,0,0,2401,1
Gregoire___Industrial_10_MF_3_08-45-MONFRI-NoSch,09:00:00,09:00:00,10034,1,,0,0,2401,1
Gregoire___Industrial_10_MF_4_09-45-MONFRI-NoSch,10:00:00,10:00:00,10034,1,,0,0,2401,1
Gregoire___Industrial_10_MF_5_10-45-MONFRI-NoSch,11:00:00,11:00:00,10034,1,,0,0,2401,1
Gregoire___Industrial_10_MF_6_11-45-MONFRI-NoSch,12:00:00,12:00:00,10034,1,,0,0,2401,1
Gregoire___Industrial_10_MF_7_12-45-MONFRI-NoSch,13:00:00,13:00:00,10034,1,,0,0,2401,1
