route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,run_id
Route 92,MONFRI-NoSch,164120-MONFRI-NoSch,<Main>,0,1013,9734,1013
Route 92,MONFRI-NoSch,164121-MONFRI-NoSch,<Main>,0,1013,9734,1013
Route 92,MONFRI-NoSch,164122-MONFRI-NoSch,<Main>,0,1013,9734,1013
Route 92,MONFRI-NoSch,164123-MONFRI-NoSch,<Main>,0,1009S1,9734,1009
Route 92,MONFRI-NoSch,164124-MONFRI-NoSch,<Main>,0,1006,9734,1006
Route 92,MONFRI-NoSch,164125-MONFRI-NoSch,<Main>,0,1020S1,9734,1020
Route 92,MONFRI-NoSch,164126-MONFRI-NoSch,<Main>,0,1004,9734,1004
Route 92,MONFRI-NoSch,164127-MONFRI-NoSch,<Main>,0,1009S2,9734,1009
Route 92,MONFRI-NoSch,164128-MONFRI-NoSch,<Main>,0,1028,9734,1028
Route 92,MONFRI-NoSch,164129-MONFRI-NoSch,<Main>,0,1022,9734,1023
Route 92,MONFRI-NoSch,164130-MONFRI-NoSch,<Main>,0,1025,9734,1025
Route 92,MONFRI-NoSch,164131-MONFRI-NoSch,<Main>,0,1025,9734,1025
Route 92,MONFRI-NoSch,164132-MONFRI-NoSch,<Main>,0,EX7,9734,5007
Route 92,Weekend,169426-Weekend,<Main>,0,EX1,9734,3001
Route 92,Weekend,169427-Weekend,<Main>,0,2004S1,9734,2005
Route 92,Weekend,164166-Weekend,<Main>,0,2011,9734,2011
Route 92,Weekend,164167-Weekend,<Main>,0,2005,9734,2004
Route 92,Weekend,164168-Weekend,<Main>,0,2005,9734,2004
Route 92,Weekend,164169-Weekend,<Main>,0,2013,9734,2013
Route 92,Weekend,164170-Weekend,<Main>,0,2011,9734,2011
Route 92,Weekend,164171-Weekend,<Main>,0,2019,9734,2019
Route 92,Weekend,164172-Weekend,<Main>,0,2015S2,9734,2015
Route 92,Weekend,164173-Weekend,<Main>,0,2014S2,9734,2014
Route 92,Weekend,164174-Weekend,<Main>,0,2014S2,9734,2014
Route 99,MONFRI-NoSch,160190-MONFRI-NoSch,<Main>,0,1001,9721,1001
Route 99,MONFRI-NoSch,160191-MONFRI-NoSch,<Main>,0,1017,9721,1017
Route 99,MONFRI-NoSch,160192-MONFRI-NoSch,<Main>,0,1019,9721,1019
Route 99,MONFRI-NoSch,160193-MONFRI-NoSch,<Main>,0,1014S1,9721,1014
Route 99,MONFRI-NoSch,160194-MONFRI-NoSch,<Main>,0,1001,9721,1001
